,created_by,name,description,image_url
241,,Cherry,Cherry,Cherry
242,,Chocolate Liqueur,Chocolate Liqueur,Chocolate Liqueur
243,,Tabasco Sauce,Tabasco Sauce,Tabasco Sauce
244,,Celery Salt,Celery Salt,Celery Salt
245,,Sloe Gin,Sloe Gin,Sloe Gin
246,,Brandy,Brandy,Brandy
247,,Sugar Syrup,Sugar Syrup,Sugar Syrup
248,,Bitters,Bitters,Bitters
249,,Pepper,Pepper,Pepper
250,,Sarsaparilla,Sarsaparilla,Sarsaparilla
251,,Sweet Vermouth,Sweet Vermouth,Sweet Vermouth
252,,Chocolate Syrup,Chocolate Syrup,Chocolate Syrup
253,,Lime Juice Cordial,Lime Juice Cordial,Lime Juice Cordial
254,,Cointreau,Cointreau,Cointreau
255,,Raspberry Syrup,Raspberry Syrup,Raspberry Syrup
256,,Allspice,Allspice,Allspice
257,,Asafoetida,Asafoetida,Asafoetida
258,,Gin,Gin,Gin
259,,Raspberry Vodka,Raspberry Vodka,Raspberry Vodka
260,,Caramel Coloring,Caramel Coloring,Caramel Coloring
261,,Creme De Banane,Creme De Banane,Creme De Banane
262,,Triple Sec,Triple Sec,Triple Sec
263,,Fresh Lime Juice,Fresh Lime Juice,Fresh Lime Juice
264,,Maraschino Cherry,Maraschino Cherry,Maraschino Cherry
265,,Orange,Orange,Orange
266,,Butterscotch Schnapps,Butterscotch Schnapps,Butterscotch Schnapps
267,,Cherry Brandy,Cherry Brandy,Cherry Brandy
268,,Wine,Wine,Wine
269,,Sugar,Sugar,Sugar
270,,Ice,Ice,Ice
271,,Maple Syrup,Maple Syrup,Maple Syrup
272,,Mini-snickers Bars,Mini-snickers Bars,Mini-snickers Bars
273,,Bacardi Limon,Bacardi Limon,Bacardi Limon
274,,Mint,Mint,Mint
275,,Grapes,Grapes,Grapes
276,,Grape Juice,Grape Juice,Grape Juice
277,,Orange Curacao,Orange Curacao,Orange Curacao
278,,Sambuca,Sambuca,Sambuca
279,,Orange Spiral,Orange Spiral,Orange Spiral
280,,Coconut Liqueur,Coconut Liqueur,Coconut Liqueur
281,,Midori Melon Liqueur,Midori Melon Liqueur,Midori Melon Liqueur
282,,Limeade,Limeade,Limeade
283,,Black Sambuca,Black Sambuca,Black Sambuca
284,,Lillet Blanc,Lillet Blanc,Lillet Blanc
285,,Sprite,Sprite,Sprite
286,,Jack Daniels,Jack Daniels,Jack Daniels
287,,Ale,Ale,Ale
288,,Apricot,Apricot,Apricot
289,,Bourbon,Bourbon,Bourbon
290,,Creme De Cassis,Creme De Cassis,Creme De Cassis
291,,Jägermeister,Jägermeister,Jägermeister
292,,Galliano,Galliano,Galliano
293,,Mango,Mango,Mango
294,,Cherries,Cherries,Cherries
295,,Curacao,Curacao,Curacao
296,,Lime Peel,Lime Peel,Lime Peel
297,,Tea,Tea,Tea
298,,Butter,Butter,Butter
299,,White Rum,White Rum,White Rum
300,,Anisette,Anisette,Anisette
301,,Absinthe,Absinthe,Absinthe
302,,Mint Syrup,Mint Syrup,Mint Syrup
303,,Blackberry Brandy,Blackberry Brandy,Blackberry Brandy
304,,Benedictine,Benedictine,Benedictine
305,,Wormwood,Wormwood,Wormwood
306,,Chocolate Sauce,Chocolate Sauce,Chocolate Sauce
307,,Vanilla Extract,Vanilla Extract,Vanilla Extract
