,created_by,name,description,directions,glass,image_url
82,,Amaretto Sunrise,Amaretto Sunrise,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg
83,,Amaretto Sunset,Amaretto Sunset,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg
84,,Amaretto Sweet & Sour,Amaretto Sweet & Sour,Combine ingredients,Margarita/coupette Glass,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg
85,,Amaretto Tea,Amaretto Tea,Combine ingredients,Pousse Cafe Glass,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg
86,,Americano,Americano,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg
87,,Angel Face,Angel Face,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg
88,,Angelica Liqueur,Angelica Liqueur,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg
89,,Apello,Apello,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg
90,,Apple Berry Smoothie,Apple Berry Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg
91,,Apple Cider Punch #1,Apple Cider Punch #1,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg
92,,Apple Grande,Apple Grande,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg
93,,Apple Karate,Apple Karate,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg
94,,Apple Pie with A Crust,Apple Pie with A Crust,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg
95,,Apple Slammer,Apple Slammer,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg
96,,Applecar,Applecar,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg
97,,Applejack,Applejack,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg
98,,Apricot Lady,Apricot Lady,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg
99,,Apricot punch,Apricot punch,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg
100,,Archbishop,Archbishop,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg
101,,Arctic Fish,Arctic Fish,Combine ingredients,Beer Pilsner,http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg
102,,Arctic Mouthwash,Arctic Mouthwash,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg
103,,Arise My Love,Arise My Love,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg
104,,Arizona Antifreeze,Arizona Antifreeze,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg
105,,Arizona Stingers,Arizona Stingers,Combine ingredients,Hurricane Glass,http://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg
106,,Arizona Twister,Arizona Twister,Combine ingredients,Hurricane Glass,http://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg
107,,Army special,Army special,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg
108,,Arthur Tompkins,Arthur Tompkins,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg
109,,Artillery,Artillery,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg
110,,Artillery Punch,Artillery Punch,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg
111,,Atlantic Sun,Atlantic Sun,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg
112,,Atomic Lokade,Atomic Lokade,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg
113,,Auburn Headbanger,Auburn Headbanger,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg
114,,Autodafé,Autodafé,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
115,,Avalanche,Avalanche,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg
116,,Avalon,Avalon,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
